Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2018-03-13,249.12914055254927,249.6365927990102,245.73726866253648,246.3515472412109,91968900,13,1,11,3,2018
2018-03-14,247.3219376199845,247.50888371267368,244.52654880689343,245.0873870849609,105895100,14,2,11,3,2018
2018-03-15,245.6036959240992,246.253565062508,244.31281455945225,244.8202667236328,83433000,15,3,11,3,2018
2018-03-16,245.3539050867748,246.1494190014508,245.03214256662943,245.0857696533203,100343700,16,4,11,3,2018
2018-03-19,244.32599577340503,245.2644969892048,240.0982122780715,241.7696533203125,109208400,19,0,12,3,2018
2018-03-20,242.17193074435747,242.8244300742115,241.49261786819488,242.18087768554688,59757300,20,1,12,3,2018
2018-03-21,242.1361462296566,244.25449800960592,241.50154084515333,241.71604919433597,78709600,21,2,12,3,2018
2018-03-22,239.463651976115,240.3217127299374,235.39674896275864,235.67385864257807,148785900,22,3,12,3,2018
2018-03-23,236.12073609409896,236.4514455424877,230.4538862175926,230.6505279541016,183534800,23,4,12,3,2018
2018-03-26,234.2973374690801,237.24693629092693,231.86614290129955,236.96090698242188,141956100,26,0,13,3,2018
2018-03-27,237.90843135777453,238.44470232483488,231.35670584514887,232.92984008789065,129941400,27,1,13,3,2018
2018-03-28,233.0638894363462,234.75322468105,231.1242853343448,232.24156188964844,146452300,28,2,13,3,2018
2018-03-29,233.39460459023704,237.09503772419225,232.25051446096177,235.2090606689453,111601600,29,3,13,3,2018
2018-04-02,234.6728029610264,235.1912346600073,227.62949944416783,230.1322021484375,186286300,2,0,14,4,2018
2018-04-03,231.38351682678925,233.56444299284783,229.56906066899788,233.08177185058597,119956900,3,1,14,4,2018
2018-04-04,229.48862522280865,236.29059241383413,229.3545574794941,235.57554626464844,123715300,4,2,14,4,2018
2018-04-05,237.35420921187924,238.32849832576616,236.25482659118103,237.43467712402344,82652600,5,3,14,4,2018
2018-04-06,235.4503989531796,236.9609317274639,230.6058759145315,232.14324951171875,179521200,6,4,14,4,2018
2018-04-09,233.6180630240632,236.71962394925023,232.33990514329795,233.287353515625,105442900,9,0,15,4,2018
2018-04-10,236.21012181206305,237.79220281432416,235.05711208851855,236.99668884277344,103529000,10,1,15,4,2018
2018-04-11,235.49505669287524,237.4346605673996,235.42356300371483,235.7542724609375,91140200,11,2,15,4,2018
2018-04-12,237.0949875512912,238.6502274961401,236.9162124250365,237.6938323974609,68890500,12,3,15,4,2018
2018-04-13,239.01673351007432,239.13293463196453,235.97774684554128,236.99668884277344,85079200,13,4,15,4,2018
2018-04-16,238.65024145909032,239.7228377248651,237.81899435560572,238.9451904296875,63405300,16,0,16,4,2018
2018-04-17,240.7328711772053,242.1093635736693,240.21446684145835,241.50157165527344,64682000,17,1,16,4,2018
2018-04-18,241.9484485436376,242.49366635040468,241.21550865631357,241.6803131103516,57303900,18,2,16,4,2018
2018-04-19,241.01886988236544,241.2244585685889,239.29380159337225,240.33958435058597,77655900,19,3,16,4,2018
2018-04-20,240.26808388675755,240.491539195404,237.4078450251801,238.3016662597656,99953100,20,4,16,4,2018
2018-04-23,238.88266900238625,239.44578073774372,237.17546719165088,238.26593017578125,65558000,23,0,17,4,2018
2018-04-24,239.30277996587648,239.5262352848042,233.53762182663732,235.05712890625,112885500,24,1,17,4,2018
2018-04-25,234.9944940216856,236.08495678678227,233.15322485267444,235.63804626464844,103840900,25,2,17,4,2018
2018-04-26,236.67486445734832,238.8736564261098,236.2279539682443,238.0334625244141,67731900,26,3,17,4,2018
2018-04-27,238.6502567708015,238.95415270090908,237.30952499119024,238.2569732666016,57053600,27,4,17,4,2018
2018-04-30,238.8826141240245,239.44572573001872,236.3530853665033,236.4246063232422,82182300,30,0,18,4,2018
2018-05-01,235.85252536574632,236.95193493379617,234.2793917940165,236.8446807861328,74203400,1,1,18,5,2018
2018-05-02,236.6481586168692,237.4704590157859,234.86051584690284,235.25379943847656,86368900,2,2,18,5,2018
2018-05-03,234.41355850344905,235.39674000945507,231.5443727890236,234.73532104492188,136311500,3,3,18,5,2018
2018-05-04,233.75211182650264,238.46256703660973,233.42140234485169,237.77430725097656,91222100,4,4,18,5,2018
2018-05-07,238.5519370672509,239.5619320422149,237.85473039211973,238.5787506103516,55304900,7,0,19,5,2018
2018-05-08,238.2033337296853,238.94519327364236,236.9966697356409,238.5787506103516,67499200,8,1,19,5,2018
2018-05-09,239.2580654400648,241.2155361579997,238.73071417630632,240.88482666015625,59666100,9,2,19,5,2018
2018-05-10,241.63562445130248,243.46797431190717,241.52837026965904,243.13723754882807,72063900,10,3,19,5,2018
2018-05-11,243.2623506224692,244.14722477100992,242.74391911608308,243.87908935546875,59871500,11,4,19,5,2018
2018-05-14,244.3171391991394,244.9785583091123,243.44118440375172,243.9953765869141,54790600,14,0,20,5,2018
2018-05-15,242.75287450839076,242.770741110964,241.35851574451505,242.31491088867188,87036100,15,1,20,5,2018
2018-05-16,242.35068085681644,243.79866676234263,242.3238400360223,243.3338623046875,53942600,16,2,20,5,2018
2018-05-17,243.06578289183224,244.2188200842039,242.34178977220105,243.12835693359372,56536400,17,3,20,5,2018
2018-05-18,242.77975416288487,243.1462241948494,242.1630152404645,242.52053833007807,64368000,18,4,20,5,2018
2018-05-21,244.02215528041677,244.88916300919496,243.6288717368105,244.3439178466797,58025900,21,0,21,5,2018
2018-05-22,244.87126069407293,245.13047649281012,243.3338870612592,243.6645965576172,52966400,22,1,21,5,2018
2018-05-23,242.3774872449745,244.36177123992368,242.2165787112443,244.33493041992188,64694200,23,2,21,5,2018
2018-05-24,243.9326698122207,244.2097521144021,242.0288268940226,243.83433532714844,76043800,24,3,21,5,2018
2018-05-25,243.2534332275391,243.88803863956664,242.74394859887585,243.25343322753903,56374800,25,4,21,5,2018
2018-05-29,241.60883239783712,242.3775328967583,239.329599003392,240.45579528808597,115908600,29,1,22,5,2018
2018-05-30,241.77864682335516,244.1115071802112,241.70715312573435,243.6645965576172,69678400,30,2,22,5,2018
2018-05-31,243.2534368026418,243.55733274071653,241.5641289002177,242.1719207763672,93519900,31,3,22,5,2018
2018-06-01,243.48583484937112,244.85338018576667,243.41431387855167,244.5494842529297,71258400,1,4,22,6,2018
2018-06-04,245.3807010857601,245.97062627443785,245.13937921290528,245.7114105224609,45385200,4,0,23,6,2018
2018-06-05,245.8454903311552,246.2745342923824,245.06787031420157,245.89019775390625,51135000,5,1,23,6,2018
2018-06-06,246.506899404078,248.05319226519777,245.88121379780569,247.9459381103516,62732200,6,2,23,6,2018
2018-06-07,248.4376210402268,248.7325700432433,246.9985546800916,247.919189453125,72969400,7,3,23,6,2018
2018-06-08,247.45439776687363,248.7057419564862,247.28456956143432,248.6521148681641,72139700,8,4,23,6,2018
2018-06-11,248.87554917712575,249.70679625328708,248.7593480698065,248.98280334472656,58892500,11,0,24,6,2018
2018-06-12,249.4028573818429,249.67099275464653,248.65205106074225,249.30455017089844,72329000,12,1,24,6,2018
2018-06-13,249.54586875989423,249.80508446839912,248.3034445684832,248.509033203125,79070600,13,2,24,6,2018
2018-06-14,249.38511081310128,249.6711129226626,248.53596959510944,249.1348419189453,77097600,14,3,24,6,2018
2018-06-15,248.34108900206408,249.1581218851347,247.21879560219915,248.8169403076172,120041600,15,4,24,6,2018
2018-06-18,247.3445468237072,248.43094686393644,246.859735668302,248.30523681640625,52917600,18,0,25,6,2018
2018-06-19,246.0067480956145,247.577959077977,245.5847646215045,247.3535003662109,97531500,19,1,25,6,2018
2018-06-20,248.04486749627583,248.4489042092872,247.43434626751417,247.7755279541016,53785500,20,2,25,6,2018
2018-06-21,247.7664753862753,247.78444961750552,245.7194132072516,246.22219848632807,71061400,21,3,25,6,2018
2018-06-22,247.4971474017221,247.61387031116465,246.446668616483,246.67112731933597,54898500,22,4,25,6,2018
2018-06-25,245.5039977289812,245.6656014485237,241.6073972258796,243.3132781982422,137854200,25,0,26,6,2018
2018-06-26,243.8878497736211,244.7138424171456,243.12468474011465,243.8519287109375,68547400,26,1,26,6,2018
2018-06-27,244.44448943035536,245.8899901764688,241.67914315121672,241.831787109375,105110700,27,2,26,6,2018
2018-06-28,241.7778757315405,243.98654107170785,241.05959164548943,243.21441650390625,76650500,28,3,26,6,2018
2018-06-29,244.3188142140793,245.70148755057133,243.44791331638405,243.56463623046875,97592500,29,4,26,6,2018
2018-07-02,241.9754224070721,244.24694294852483,241.73298951862688,244.08531188964844,63554800,2,0,27,7,2018
2018-07-03,244.9921085674706,245.09088461554828,242.79243036616072,243.22337341308597,42187100,3,1,27,7,2018
2018-07-05,244.3637629481416,245.2705576623866,243.27736287502432,245.20770263671875,56925900,5,3,27,7,2018
2018-07-06,245.23456956279853,247.6587066790417,244.84847983932377,247.28163146972656,66493700,6,4,27,7,2018
2018-07-09,248.2961726927846,249.56212289433248,248.25129191815668,249.5082550048828,50550400,9,0,28,7,2018
2018-07-10,249.966167168133,250.5048734789713,249.66986636728845,250.40609741210935,51966800,10,1,28,7,2018
